Chr,GeneID,GeneName,Start,Stop,CodingLength,Liver-1,Liver-2,Liver-3,Adipose-1,Adipose-2,Adipose-3,Marrow-1,Marrow-2,Marrow-3
chr1,ENSG00000242590,RP11-54O7.14,990413,991496,402,25.40790772,12.60510713,19.76426862,9.459452823,8.827075256,8.894349677,8.727930928,8.790319064,6.711857582
chr1,ENSG00000131591,C1orf159,1017198,1051741,6322,5.023773736,4.42663291,4.2072453,5.220547077,5.42648069,4.770915536,6.809024128,3.582720952,4.666838475
chr1,ENSG00000078808,SDF4,1152288,1167411,4709,173.7399887,126.3209879,134.9416855,264.2846183,172.6163508,161.9044265,153.2384144,143.4553434,172.0831142
chr1,ENSG00000176022,B3GALT6,1167629,1170421,2793,28.50475454,18.81318987,24.54226425,24.89799375,25.13364973,24.58725399,25.29066105,26.5973745,26.79499394
chr1,ENSG00000160087,UBE2J2,1189289,1209265,4712,43.41091059,37.22150477,41.82784572,42.62703112,34.69329988,33.80534437,35.6898979,29.27442622,27.01784859
chr1,ENSG00000162572,SCNN1D,1215816,1227409,4025,6.234984938,4.791020375,3.130973247,2.498723387,0.651177683,0.766754282,2.476008774,1.265273199,1.756618977
chr1,ENSG00000131584,ACAP3,1227756,1244989,8809,31.09234211,38.17970885,23.13984915,23.29167157,26.68019673,25.45624218,50.81123719,28.91482225,41.0839095
chr1,ENSG00000169972,PUSL1,1243947,1247057,2489,9.565815744,6.747916022,8.235111925,10.14362708,12.78840616,10.75159894,12.5834303,11.04117349,8.940404045
chr1,ENSG00000127054,CPSF3L,1246965,1260071,8220,47.77402367,47.43784963,38.5501081,39.99444755,49.56185697,48.74853338,61.0866736,41.51427958,44.45294738
chr1,ENSG00000224051,GLTPD1,1260136,1264277,2556,14.68593583,11.34999475,11.65961391,12.65722382,14.62436546,12.67700414,18.15445004,12.10666671,12.80758761
chr1,ENSG00000107404,DVL1,1270656,1284730,3486,40.19018989,30.08220962,37.08246439,39.02767957,74.24329998,54.81441171,85.46651714,58.32243512,58.37480823
chr1,ENSG00000162576,MXRA8,1288069,1297157,3371,261.0848329,194.8258314,195.4412206,281.5079616,270.8446954,234.8312783,298.2264139,315.6124104,311.0133225
chr1,ENSG00000175756,AURKAIP1,1309110,1310875,1669,33.80380355,25.42614757,29.36918134,38.04603824,45.40155511,37.92877851,52.96890198,34.24228835,33.53306972
chr1,ENSG00000221978,CCNL2,1321091,1334708,6835,165.743242,168.4279839,110.7418714,117.4399992,84.51743675,75.72124514,109.3865305,91.51254892,109.2774313
chr1,ENSG00000224870,RP4-758J18.2,1334902,1337426,2525,11.02477469,10.43227817,8.756940799,10.45596751,10.71729936,9.371441231,12.68070208,9.323065674,9.897368114
chr1,ENSG00000242485,MRPL20,1337288,1342693,2788,29.90865843,27.39653905,27.52647313,30.8622085,36.49308264,32.93635618,38.89986641,31.36545666,29.91495899
chr1,ENSG00000179403,VWA1,1370241,1378262,5065,5.010009972,9.177165789,7.07730411,4.105045565,1.474193921,2.709198465,4.730945336,3.103249003,3.932729052
chr1,ENSG00000215915,ATAD3C,1385069,1405538,3976,0.867117111,0.688287434,0.945814835,3.168024295,2.043974393,1.97652215,1.910063911,1.398459851,1.507546137
chr1,ENSG00000160072,ATAD3B,1407143,1433228,7748,13.17192182,11.98429885,10.07782014,17.461317,28.46189122,21.63950975,26.65246587,17.64723145,18.19542641
chr1,ENSG00000197785,ATAD3A,1447531,1470067,3069,13.97022012,10.37829484,11.49654239,25.00210723,30.56013042,28.23359658,25.3260326,18.4330327,20.46330017
chr1,ENSG00000160075,SSU72,1477053,1510249,5428,74.83358302,62.14830656,65.17968785,75.5417624,78.70205828,72.62015004,70.3009634,59.01500571,54.08813356
chr1,ENSG00000215791,AL645728.2,1497726,1499904,2178,2.807807787,4.116228773,3.163587551,5.607254268,5.444568959,5.128734201,9.895192207,7.23203523,5.623802544
chr1,ENSG00000228594,C1orf233,1533392,1535476,2085,6.716716666,5.006953688,5.055217221,4.982573421,3.50912418,2.811432369,2.741295428,2.357403749,3.421474275
chr1,ENSG00000272106,RP11-345P4.9,1549138,1551175,2038,3.853853825,2.253803951,3.212509008,3.182897648,1.157649214,1.414235677,2.537908993,2.091030444,2.320310141
chr1,ENSG00000197530,MIB2,1550795,1565990,8767,47.36111076,25.64208088,27.31448015,42.40393082,22.528939,21.40096397,26.49329388,20.09786586,24.31737464
chr1,ENSG00000248333,CDK11B,1570603,1590473,3130,8.285785724,9.595536583,7.321911394,7.511043515,8.329647859,7.122295335,9.196604017,8.151023132,8.101421847
chr1,ENSG00000272004,RP11-345P4.10,1590786,1594063,400,6.413913866,14.26509447,6.001032056,7.555663576,4.341184552,4.566447727,5.668291514,5.580520739,5.387838801
chr1,ENSG00000189339,SLC35E2B,1592939,1624167,7790,65.62562513,147.5769234,57.35225473,81.58034392,44.85890704,47.38541466,64.12862724,51.51659718,58.44035371
chr1,ENSG00000008128,CDK11A,1634169,1655766,4707,13.28203193,18.93465236,10.97471352,8.239837836,8.763766315,9.780376848,8.666030708,9.070011034,10.02845908
chr1,ENSG00000268575,RP1-283E3.8,1634175,1669127,5079,14.93368357,22.78096449,11.75745683,10.47084086,9.297370249,10.13819551,9.055117801,10.06891093,11.44424154
chr1,ENSG00000227775,RP1-283E3.4,1655951,1668690,2759,4.321821789,6.2755619,3.522344902,3.40599795,2.152504007,1.277923804,1.51213393,2.077711779,2.975764983
chr1,ENSG00000215790,SLC35E2,1656277,1677431,2504,2.93168166,4.534599566,2.022086888,2.930050639,1.546546997,1.703898406,1.733206142,1.917887796,2.084346398
chr1,ENSG00000008130,NADK,1682671,1711896,5637,44.80105072,36.29029236,39.07193697,40.6191284,44.74133329,46.26084171,47.80465511,43.13915674,42.23751002
chr1,ENSG00000078369,GNB1,1716729,1822495,6351,379.2054526,347.7471043,404.9228994,377.3221048,414.8454046,407.0272511,377.909682,379.2889489,384.5291376
chr1,ENSG00000067606,PRKCZ,1981909,2116834,7636,6.400150102,5.182399505,5.6096604,4.863586593,3.816624752,5.094656233,5.332261752,3.529446291,3.172401435
chr1,ENSG00000162585,C1orf86,2115903,2144159,10712,33.88638613,25.53411423,31.30973247,33.85175256,27.91019902,27.10902363,26.57287988,26.38427586,28.95799492
chr1,ENSG00000269554,AL590822.2,2121237,2123179,1943,3.000500478,3.23899969,2.022086888,3.004417406,3.59052139,2.930705258,2.113450346,2.477271736,2.949546789
chr1,ENSG00000157933,SKI,2160134,2241558,6080,108.32082,81.01547975,100.3379083,98.93754745,100.1909218,102.7621128,110.376934,102.3805798,106.9046847
chr1,ENSG00000116151,MORN1,2252692,2323146,8403,4.720970936,3.711353812,3.603880664,3.450618011,2.505225252,3.186290018,3.475255172,3.169842329,4.181801892
chr1,ENSG00000157916,RER1,2323267,2336883,5638,117.6664155,96.17129914,105.5072755,134.3063821,146.3974049,138.0839268,108.3872841,122.0522483,113.6951969
chr1,ENSG00000157911,PEX10,2336236,2345236,2961,26.81181161,18.4892899,24.36288558,23.61888535,25.09747319,26.30819138,23.53976913,23.89368546,20.48951836
chr1,ENSG00000157881,PANK4,2439972,2458039,5079,12.58007999,10.02740321,12.40974292,9.518946237,13.36723077,12.48957531,14.0425069,10.49510822,12.11280548
chr1,ENSG00000238164,RP3-395M20.8,2481359,2488470,6137,2.202202186,3.144528866,3.000516028,3.257264416,0.759707297,0.443013585,1.600562814,1.638195826,1.822164461
chr1,ENSG00000157873,TNFRSF14,2487078,2496821,6219,14.82357346,16.43792343,13.53493643,13.11829778,3.111182262,2.726237449,8.975531805,8.936824381,8.691331205
chr1,ENSG00000157870,FAM213B,2517930,2522908,3346,15.69069057,17.54458166,13.19248623,19.5733332,15.62826439,14.61944832,32.35612894,23.46748817,19.00819042
chr1,ENSG00000142606,MMEL1,2522078,2564481,3896,2.862862841,3.198512194,2.658065829,3.748085081,2.830814093,2.794393385,5.889363726,4.03555557,3.224837823
chr1,ENSG00000142611,PRDM16,2985732,3355185,9770,0.633133128,3.90029546,1.549179471,0.728794321,0.642133548,0.988261075,13.50309071,3.396259638,11.49667793
chr1,ENSG00000162591,MEGF6,3406484,3528059,7039,36.39139112,1.84892899,15.34503034,4.610739584,7.380013739,10.85383284,27.41295428,58.74863241,57.75868068
chr1,ENSG00000158109,TPRG1L,3541566,3546691,2414,42.00700669,33.95551342,35.25606333,41.98747692,33.71653336,29.76710514,32.09084229,41.86056487,43.5615288
chr1,ENSG00000116213,WRAP73,3547331,3569325,7604,10.11636629,9.919436552,11.38239232,10.14362708,9.704356301,10.01892262,11.72567012,9.043373703,8.914185851
chr1,ENSG00000227372,TP73-AS1,3652548,3663900,6597,26.19244225,18.69172738,21.91681273,20.61446794,15.53782304,20.70236563,21.49706189,14.7171251,15.28520692
chr1,ENSG00000130764,LRRC47,3696784,3713068,2854,34.32682657,25.60159339,31.03251088,30.69860161,36.68300947,34.70841052,34.77023749,31.59187397,30.03294086
chr1,ENSG00000272153,RP1-286D6.5,3701572,3702102,531,2.601351332,1.862424822,2.136236955,2.037649429,3.075005724,2.453613704,3.271868737,2.41067841,2.189219172
chr1,ENSG00000116198,CEP104,3728645,3773778,7876,33.15690666,35.10265914,33.15244068,27.18849019,30.17123264,30.55089841,27.61634072,29.91372215,32.89072397
chr1,ENSG00000169598,DFFB,3773845,3801993,3856,4.170420389,6.451007717,5.18567444,5.101560249,4.730082335,4.600525695,5.69482018,3.729226269,4.588183894
chr1,ENSG00000198912,C1orf174,3805689,3816857,4388,15.05755744,10.47276567,15.29610888,11.94330286,16.21613313,14.50017543,18.15445004,12.55950133,14.36757014
chr1,ENSG00000131697,NPHP4,5922871,6052533,13167,8.382132069,6.599461869,8.642790733,13.49013162,9.451120535,10.92198878,12.68070208,10.17546025,10.31685921
chr1,ENSG00000069424,KCNAB2,6051526,6161253,9253,7.102102049,5.506299474,4.843224241,9.994893549,6.529865097,6.713359718,6.517208808,4.128786227,4.981456799
chr1,ENSG00000116251,RPL22,6241329,6269449,4900,154.3743732,141.3283532,156.8421911,162.9822076,131.1218617,155.0888329,124.3133262,152.8316837,132.5329691
chr1,ENSG00000158286,RNF207,6265535,6281359,6585,7.391141086,8.164978386,6.09887497,16.50942238,8.365824397,9.490714119,6.251922154,4.84799415,5.427166092
chr1,ENSG00000116237,ICMT,6281253,6296032,4910,100.7645138,83.17481288,93.11383978,97.95590612,151.6339588,149.7726698,183.5164646,128.0056917,134.4600063
chr1,ENSG00000158292,GPR153,6307406,6321035,4082,12.67642633,5.317357825,10.45288464,13.8173454,11.42274185,19.11774011,11.87599923,12.59945732,11.78507806
chr1,ENSG00000097021,ACOT7,6324329,6454451,4892,25.86211192,22.30861037,29.46702425,25.84988838,36.51117091,35.71371058,42.26900692,32.71064185,30.79326848
chr1,ENSG00000215788,TNFRSF25,6521211,6526255,3918,3.372122097,3.158024698,2.511301458,3.762958434,1.329487769,0.937144123,6.340351039,3.249754321,7.59016707
chr1,ENSG00000171680,PLEKHG5,6526152,6580121,6954,10.40540533,11.09357394,11.79007113,16.67302927,11.0428882,8.02536149,24.93694551,17.06121018,40.10072723
chr1,ENSG00000162408,NOL9,6581407,6614595,7293,20.87962947,27.12662241,22.50387021,19.81130686,28.42571468,31.19837981,29.7740055,21.09676575,25.2874478
chr1,ENSG00000204859,ZBTB48,6640061,6649340,4503,7.666416359,7.652136768,6.718546758,7.392056687,5.743025397,5.026500296,10.1339502,5.66043273,7.131348681
chr1,ENSG00000162413,KLHL21,6650784,6674667,6670,30.43168145,22.43007286,32.58169035,35.44320138,45.09405454,42.08629062,58.34537818,50.67752127,67.49873963
chr1,ENSG00000116273,PHF13,6673745,6684093,3681,25.31156137,21.59333127,23.09092769,22.9644578,23.54188206,26.08668459,24.5567013,22.76159891,28.23699459
chr1,ENSG00000041988,THAP3,6684926,6695646,4072,20.81081065,18.70522321,17.95417471,21.37300897,23.65945581,22.06548435,25.39677571,18.55290069,19.25726326
chr1,ENSG00000007923,DNAJC11,6694228,6761984,5147,40.05255225,38.63856714,36.72370704,40.47039486,49.93266648,48.62926049,45.80616231,36.54641744,36.5088347
chr1,ENSG00000171735,CAMTA1,6845384,7829766,10033,13.24074064,12.37567798,14.62751564,12.49361694,10.94340273,10.56417011,11.18625392,13.66495054,12.29633284
chr1,ENSG00000049245,VAMP3,7831329,7841492,2760,120.4191683,102.9462068,114.7860452,124.5940822,126.8078096,121.862814,94.28287695,129.2176902,111.5977414
chr1,ENSG00000049246,PER3,7844380,7905237,8059,10.61186178,16.96426088,15.06780875,4.060425504,11.0428882,7.037100415,36.04361344,23.7604988,27.20137594
chr1,ENSG00000049247,UTS2,7903143,7913572,1783,1.720470458,2.537216424,2.543915763,0.609807493,2.161548142,1.226806852,5.005074878,3.862412922,3.342819694
chr1,ENSG00000049249,TNFRSF9,7979907,8000926,2284,0.536786783,1.929903982,0.472907417,11.16988848,4.567287914,1.72093739,0.088428885,0.146505318,0.196636453
chr1,ENSG00000116288,PARK7,8014351,8045565,2397,118.5885877,120.4907885,120.966456,132.1051257,143.0691634,129.6155517,133.9078602,138.5940306,130.2782044
chr1,ENSG00000116285,ERRFI1,8064464,8086368,4186,158.2419908,107.3863356,125.8586017,46.5982165,39.18823472,43.68795512,111.323123,249.2721388,204.9607291
chr1,ENSG00000162426,SLC45A1,8377886,8404227,2888,3.757507479,3.886799628,2.772215895,1.993029368,0.506471531,0.477091554,0.92850329,1.198679872,1.415782459
chr1,ENSG00000142599,RERE,8412457,8877702,11503,173.7262249,95.41553254,134.2241708,87.54455867,58.09951992,66.67354461,63.80144037,53.40784764,64.48364736
chr1,ENSG00000074800,ENO1,8921061,8939308,3958,1039.742234,822.5439714,1204.886564,1604.016808,1329.379239,1054.25306,1553.598234,1529.68866,1448.122601
chr1,ENSG00000142583,SLC2A5,9095166,9148537,6854,0.97722722,0.458858289,2.59283722,8.224964483,4.214566669,1.89132723,0.760488409,1.238635868,5.217420542
chr1,ENSG00000180758,GPR157,9160364,9189229,5372,8.148148087,5.992149427,9.425534044,8.84964533,12.05583127,11.36500237,8.498015827,8.976780377,12.65027845
chr1,ENSG00000234546,RP3-510D11.2,9242263,9252148,985,3.757507479,2.37526644,3.29404477,2.811063811,0.832060372,0.971222091,1.061146617,1.238635868,1.691073492
chr1,ENSG00000049239,H6PD,9294834,9331396,9321,137.7615105,94.97017009,157.1846413,226.7591474,220.3332043,198.2996964,146.8007916,168.4544781,185.3495202
chr1,ENSG00000171621,SPSB1,9352939,9429591,3403,34.67092066,33.61811762,40.13190187,38.55173226,32.10667742,26.27411341,25.64437659,13.66495054,24.85484761
chr1,ENSG00000171612,SLC25A33,9599541,9645237,3854,4.184184153,3.819320468,4.614924108,4.952826714,6.321850004,6.968944479,4.952017548,4.56830218,3.736092599
chr1,ENSG00000188807,TMEM201,9648932,9674935,7018,7.790290232,7.341732631,6.930539739,6.930982729,12.79745029,14.87503308,13.47656204,7.378540547,8.625785721
chr1,ENSG00000171608,PIK3CD,9711790,9789172,6593,18.26451438,15.42573603,17.74218173,19.08251253,16.07142698,18.62360957,13.84796336,20.71052446,25.81181168
chr1,ENSG00000171603,CLSTN1,9789084,9884584,5559,304.5645623,212.208463,246.1727715,320.2530475,157.1870573,191.3818689,156.130039,170.2658165,191.7729777
chr1,ENSG00000178585,CTNNBIP1,9908334,9970394,3343,13.83258248,13.14494041,14.52967272,16.25657537,11.84781617,14.26162965,28.22650002,24.42643206,23.37351967
chr1,ENSG00000223989,RP11-84A14.5,9908376,9910212,424,2.326076059,2.010878974,1.728558147,2.42435662,1.428973248,2.044678087,4.076571588,3.635995613,3.578783437
chr1,ENSG00000162441,LZIC,9982173,10003465,2792,18.47097083,24.53542265,22.29187723,21.00117514,23.71372062,25.25177437,24.02612799,22.8415109,22.52142837
chr1,ENSG00000173614,NMNAT1,10003486,10045559,4610,14.21796786,14.06265699,13.09464332,13.66861186,15.24841074,14.55129238,15.51042639,16.8614302,15.62604343
chr1,ENSG00000130939,UBE4B,10092890,10241297,9140,62.84534487,59.88100678,65.84828109,71.88291744,47.62641219,48.37367573,55.68366874,55.33905411,57.37851687
chr1,ENSG00000054523,KIF1B,10270863,10441661,17693,75.28778722,101.8935319,99.1637933,60.72790232,75.9797738,80.45808271,88.71185721,106.3761793,93.59895144
chr1,ENSG00000264501,RN7SL731P,10366523,10366813,291,1.761761749,2.172828959,2.429765697,1.308855108,2.107283335,2.249145895,2.590966324,2.583821058,2.176110075
chr1,ENSG00000142657,PGD,10458649,10480201,3171,47.27852817,41.5266752,44.55114015,118.1093001,68.21086228,70.7458618,111.2877515,65.66101967,81.7352188
chr1,ENSG00000175279,APITD1,10490159,10512210,2857,5.945945901,7.206774311,5.055217221,7.168956385,9.686268032,8.451336092,9.682962883,7.884649827,7.852349007
chr1,ENSG00000251503,APITD1-CORT,10490159,10512210,1790,3.853853825,4.372649582,3.01682318,4.283525807,5.960084625,5.520630834,5.960106834,4.808038155,4.981456799
chr1,ENSG00000160049,DFFA,10516579,10532583,6622,42.61261229,37.93678387,38.59902956,38.3137586,53.83973258,53.87726758,47.03532381,37.78505331,43.05027402
chr1,ENSG00000203469,RP5-1113E3.3,10518612,10519395,467,3.427177151,2.955587217,2.38084424,2.483850034,3.418682835,3.748576492,3.298397402,2.357403749,3.355928791
chr1,ENSG00000142655,PEX14,10532345,10690815,2995,14.43818808,12.49714047,13.91000093,14.14455917,14.76002748,14.22755169,15.37778306,13.4518519,12.88624219
chr1,ENSG00000120948,TARDBP,11072414,11085796,4622,88.2119613,112.0558935,97.67984243,90.84644315,124.5196436,117.0407815,132.2365543,107.6680899,98.56729914
chr1,ENSG00000116649,SRM,11114641,11120081,1898,61.38638593,48.86840783,47.09505592,90.23663566,125.4150129,110.3955777,81.99126197,56.87070061,60.02655443
chr1,ENSG00000171824,EXOSC10,11126675,11159938,6003,40.96096065,42.79528341,41.45278121,33.07833817,49.23626813,48.74853338,57.59373266,42.95269543,40.49400014
chr1,ENSG00000226849,RP4-635E18.7,11128528,11133154,2682,6.111111065,6.788403518,6.082567818,4.566119523,7.027292494,7.054139399,8.391901165,6.326365993,5.820438997
chr1,ENSG00000198793,MTOR,11166592,11322564,12119,74.14539484,67.6006227,71.70254878,62.23011102,65.61519568,74.61371118,76.49982822,60.45342156,72.34910546
chr1,ENSG00000120942,UBIAD1,11333263,11356106,5082,10.62562555,9.352611606,14.7416657,14.57588643,11.35943291,13.12001772,12.62764475,9.016736373,8.507803849
chr1,ENSG00000132879,FBXO44,11714432,11723384,3527,11.79554546,10.47276567,11.15409219,7.719270464,3.472947642,5.060578264,7.542983871,7.405177878,6.082620934
chr1,ENSG00000116663,FBXO6,11724181,11734411,1811,2.752752732,2.861116393,4.239859605,2.796190457,1.727429686,2.879588305,2.26377945,3.129886333,2.412073819
chr1,ENSG00000116670,MAD2L2,11734537,11751707,3324,12.0432932,9.636024079,12.81742173,11.2591286,14.51583585,15.36916362,19.71079842,10.69488819,9.386113337
chr1,ENSG00000162490,DRAXIN,11751786,11785914,7346,0.578078074,1.363079036,0.880586226,0.59493414,0.624045279,1.039378027,1.574034149,0.839075911,1.350236975
chr1,ENSG00000177674,AGTRAP,11796141,11814859,2433,27.36236216,14.15712781,24.62380001,33.64352561,20.83768585,23.80346073,19.03873889,19.83149255,18.89020855
chr1,ENSG00000215910,C1orf167,11821844,11849642,6505,7.570070013,7.355228463,6.131489275,5.48826744,2.514269386,2.044678087,2.166507677,2.717007711,2.53005569
chr1,ENSG00000177000,MTHFR,11845780,11866977,10214,36.14364337,38.98945877,30.08669604,24.09483266,12.99642125,13.06890077,12.06169988,15.60947567,15.83578898
chr1,ENSG00000011021,CLCN6,11866207,11903201,6884,15.01626615,21.70129793,18.28031776,16.43505561,9.297370249,12.14879563,14.84720975,15.44965169,16.09797092
chr1,ENSG00000120937,NPPB,11917521,11918988,694,8.973973907,0,3.245123313,2.007902722,0.117573748,0.119272888,0,0,0
chr1,ENSG00000116685,KIAA2013,11979648,11986485,3281,27.84409389,24.26550601,27.16771578,31.85872319,25.84813635,24.75764383,26.14842123,22.73496158,25.2874478
chr1,ENSG00000083444,PLOD1,11994262,12035595,5320,679.338083,487.1320576,591.8354794,764.0739158,493.5203305,471.1619871,309.6867974,315.8521464,375.8640246
chr1,ENSG00000116688,MFN2,12040238,12073571,4973,94.57082011,77.11518429,82.43265501,88.22873293,107.7246858,94.70267338,112.2339406,87.15734538,101.7265915
chr1,ENSG00000116691,MIIP,12079523,12092102,2821,17.63138125,8.880257484,11.79007113,13.35627144,11.35038878,11.39908033,16.85454544,7.751463174,5.689348029
chr1,ENSG00000028137,TNFRSF1B,12227060,12269285,3766,82.81656595,67.73558102,47.6821134,4.566119523,0.823016238,1.533508565,3.103853856,6.219816671,5.885984481
chr1,ENSG00000048707,VPS13D,12290124,12572099,20346,107.1646639,100.1120821,97.56569237,106.0321371,54.68083709,79.5038996,65.11018786,69.28369662,81.93185525
chr1,ENSG00000162496,DHRS3,12627939,12677737,3037,52.15090051,3.360462179,9.050469541,185.8276786,15.27554314,40.53574307,23.39828291,28.7816356,37.41336238
chr1,ENSG00000162493,PDPN,13909960,13944452,3707,4.418168135,0.445362457,22.94416332,9.474326177,5.571186842,13.85269404,1.238004387,9.016736373,2.634928465
chr1,ENSG00000116731,PRDM2,14026693,14151574,10923,36.80430403,41.25675856,39.70791591,34.49130676,30.26167398,37.21314118,37.88293424,37.05252672,35.99757992
chr1,ENSG00000189337,KAZN,14925200,15444539,12644,21.44394378,15.50671102,16.51914531,3.316757829,13.73804028,12.86443296,8.701402262,19.63171258,12.78136942
chr1,ENSG00000171729,TMEM51,15479028,15546976,2240,18.16816803,16.61336925,13.27402199,4.923080007,5.815378473,3.901927349,5.827463507,3.19647966,3.342819694
chr1,ENSG00000142634,EFHD2,15736391,15756839,2531,22.18718702,23.7526644,20.17194743,42.29981734,52.94436327,36.5486208,52.70361533,40.18241305,42.14574634
chr1,ENSG00000132906,CASP9,15817327,15853029,5269,5.505505464,6.774907686,7.99050464,8.611671674,5.987217028,7.650503841,8.524544493,9.149923025,8.206294622
chr1,ENSG00000116138,DNAJC16,15853308,15918874,8563,32.96421397,33.13226767,30.510682,32.94447799,31.41027906,31.14726285,28.51831534,31.23227001,32.13039635
chr1,ENSG00000116771,AGMAT,15898848,15911605,2500,0.743243238,0.850237419,0.554443179,1.903789247,2.613754866,3.731537508,2.184193454,3.103249003,1.966364526
chr1,ENSG00000235084,CHCHD2P6,15931077,15931538,462,2.160910895,1.309095708,2.201465564,2.349989852,3.445815238,2.930705258,2.476008774,2.357403749,2.228546463
chr1,ENSG00000197312,DDI2,15943995,15995539,12136,34.49199173,43.30812503,39.52853724,43.32607873,45.71809981,53.60464384,43.07370977,41.42104892,45.38369326
chr1,ENSG00000215695,RSC1A1,15986364,15988217,1854,9.166666598,12.15974467,10.48549895,10.87242141,12.29097876,13.7845381,11.19509681,10.32196557,12.12591458
chr1,ENSG00000116786,PLEKHM2,16010827,16061264,4122,83.42217155,58.03207779,69.90876202,72.71582524,62.45879274,64.16881395,76.10189824,68.47125804,61.15393676
chr1,ENSG00000237938,RP11-288I21.1,16049214,16063391,645,5.147647609,3.454933003,4.256166757,4.908206653,3.762359945,3.816732428,4.925488882,3.835775591,3.696765309
chr1,ENSG00000162458,FBLIM1,16083102,16113089,4716,118.1756748,91.43426209,188.4617594,57.05418401,77.78860069,66.91209039,76.29644179,80.85761672,91.63258691
chr1,ENSG00000233954,RP11-169K16.7,16133679,16134194,516,7.652652595,1.700474837,2.8048302,2.855683871,2.966476111,7.633464857,2.564437659,2.583821058,3.251056016
chr1,ENSG00000065526,SPEN,16174359,16266955,13294,68.57107056,83.60667951,74.13231447,91.51574406,60.59570104,72.87573481,57.97397686,49.27906142,61.54720966
chr1,ENSG00000116809,ZBTB17,16268364,16302627,4240,17.57632619,15.81711515,15.88316637,17.89264426,17.21098792,14.99430597,20.65698748,14.73044376,14.90504311
chr1,ENSG00000173641,HSPB7,16340523,16346089,3910,17.01201188,7.638640936,39.00670836,22.25053683,3.916110231,11.09237862,4.209214915,7.565001861,6.580766614
chr1,ENSG00000142627,EPHA2,16450832,16482582,4159,58.34459416,47.32988298,83.15016971,35.3093412,26.68019673,19.08366214,43.29478199,80.01854081,86.65113011
chr1,ENSG00000142632,ARHGEF19,16524349,16539104,3745,7.583833777,5.465811977,8.920012322,10.44109415,4.666773394,6.406658005,4.501030235,6.126586014,4.365329248
chr1,ENSG00000132881,RSG1,16558195,16563657,1545,3.482232206,3.427941339,2.348229935,2.617710215,2.975520245,2.930705258,2.484851662,3.036655677,3.52634705
chr1,ENSG00000037637,FBXO42,16573334,16678949,8984,30.63813791,26.5328058,33.44596942,26.77203629,22.39327698,20.9409114,21.27598968,20.55070048,23.18999231
chr1,ENSG00000055070,SZRD1,16679070,16724640,4747,121.8368359,105.7668357,144.5139839,138.7981348,135.5625318,126.7359634,164.0886386,141.9236969,137.4226622
